# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 동물/반려동물 용품
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 베타 먹이
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 시클리드 먹이
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 건어 사료
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 동결 건조 사료
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 동결 사료
gid://shopify/TaxonomyCategory/ap-2-4-16-7       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 금붕어 먹이
gid://shopify/TaxonomyCategory/ap-2-4-16-8       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 생사료
gid://shopify/TaxonomyCategory/ap-2-4-16-9       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 처방 사료
gid://shopify/TaxonomyCategory/ap-2-5            : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설
gid://shopify/TaxonomyCategory/ap-2-5-1          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설 > A프레임
gid://shopify/TaxonomyCategory/ap-2-5-2          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설 > 어질리티 터널
gid://shopify/TaxonomyCategory/ap-2-5-3          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설 > 반려견용 산책/경사대
gid://shopify/TaxonomyCategory/ap-2-5-4          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설 > 점프용 막대
gid://shopify/TaxonomyCategory/ap-2-5-5          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설 > 어질리티용 테이블
gid://shopify/TaxonomyCategory/ap-2-5-6          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설 > 폴
gid://shopify/TaxonomyCategory/ap-2-5-7          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설 > 시소
gid://shopify/TaxonomyCategory/ap-2-5-8          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 운동 시설 > 타이어 점프
gid://shopify/TaxonomyCategory/ap-2-6            : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 의류
gid://shopify/TaxonomyCategory/ap-2-6-1          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 의류 > 반려동물 반다나
gid://shopify/TaxonomyCategory/ap-2-6-2          : 동물/반려동물 용품 > 반려동물 용품 > 반려동물 의류 > 반려동물 나비넥타이/리본
