# Shopify Product Taxonomy - Mappings: 0.18.0
# Format:
# product_category_id: {input_product_category_id}, full_name: {full_name} => product_category_id: {output_product_category_id}, full_name: {full_name}

product_category_id: gid://shopify/TaxonomyCategory/172, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-11, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/173, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-12, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/174, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-13, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/175, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-14, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/176, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-15, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/177, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-16, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/178, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-17, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/179, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-17-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/180, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-17-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/181, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-17-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/182, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-17-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/183, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-19, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/184, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-19-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/185, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-19-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/186, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-19-3, full_name: TBD
